[00:19:22] [Server thread/INFO]: Starting minecraft server version 1.15.2
[00:19:22] [Server thread/INFO]: Loading properties
[00:19:22] [Server thread/INFO]: Default game type: SURVIVAL
[00:19:22] [Server thread/INFO]: Generating keypair
[00:19:22] [Server thread/INFO]: Starting Minecraft server on 51.68.115.89:25565
[00:19:22] [Server thread/INFO]: Using epoll channel type
[00:19:23] [Server thread/INFO]: This server is running CraftBukkit version git-Bukkit-8160e29 (MC: 1.15.2) (Implementing API version 1.15.2-R0.1-SNAPSHOT)
[00:19:29] [Server thread/WARN]: Plugin DiscordChat v1.4.2 does not specify an api-version.
[00:19:29] [Server thread/INFO]: [WorldEdit] Loading WorldEdit v7.0.1;61bc012
[00:19:30] [Server thread/INFO]: Got request to register class com.sk89q.worldedit.bukkit.BukkitServerInterface with WorldEdit [com.sk89q.worldedit.extension.platform.PlatformManager@74bd2d75]
[00:19:30] [Server thread/INFO]: [DiscordChat] Loading DiscordChat v1.4.2
[00:19:30] [Server thread/INFO]: [Essentials] Loading Essentials v2.17.1.0
[00:19:30] [Server thread/INFO]: [Multiverse-Core] Loading Multiverse-Core v4.1.0-b775
[00:19:30] [Server thread/INFO]: [Multiverse-Portals] Loading Multiverse-Portals v4.1.0-b805
[00:19:30] [Server thread/INFO]: [WorldEdit] Enabling WorldEdit v7.0.1;61bc012
[00:19:30] [Server thread/INFO]: WEPIF: Using the Bukkit Permissions API.
[00:19:32] [Server thread/WARN]: Unknown property level for block minecraft:lava
[00:19:32] [Server thread/WARN]: Unknown property axis for block minecraft:oak_log
[00:19:32] [Server thread/WARN]: Unknown property axis for block minecraft:oak_log
[00:19:32] [Server thread/WARN]: Unknown property axis for block minecraft:spruce_log
[00:19:32] [Server thread/WARN]: Unknown property axis for block minecraft:spruce_log
[00:19:32] [Server thread/WARN]: Unknown property axis for block minecraft:birch_log
[00:19:32] [Server thread/WARN]: Unknown property axis for block minecraft:birch_log
[00:19:32] [Server thread/WARN]: Unknown property axis for block minecraft:jungle_log
[00:19:32] [Server thread/WARN]: Unknown property axis for block minecraft:jungle_log
[00:19:32] [Server thread/WARN]: Unknown property axis for block minecraft:oak_log
[00:19:32] [Server thread/WARN]: Unknown property axis for block minecraft:spruce_log
[00:19:32] [Server thread/WARN]: Unknown property axis for block minecraft:birch_log
[00:19:32] [Server thread/WARN]: Unknown property axis for block minecraft:jungle_log
[00:19:32] [Server thread/WARN]: Unknown property axis for block minecraft:oak_log
[00:19:32] [Server thread/WARN]: Unknown property axis for block minecraft:spruce_log
[00:19:32] [Server thread/WARN]: Unknown property axis for block minecraft:birch_log
[00:19:32] [Server thread/WARN]: Unknown property axis for block minecraft:jungle_log
[00:19:32] [Server thread/WARN]: Unknown property axis for block minecraft:oak_wood
[00:19:32] [Server thread/WARN]: Unknown property axis for block minecraft:spruce_wood
[00:19:32] [Server thread/WARN]: Unknown property axis for block minecraft:birch_wood
[00:19:32] [Server thread/WARN]: Unknown property axis for block minecraft:jungle_wood
[00:19:32] [Server thread/WARN]: Unknown property persistent for block minecraft:oak_leaves
[00:19:32] [Server thread/WARN]: Unknown property distance for block minecraft:oak_leaves
[00:19:32] [Server thread/WARN]: Unknown property persistent for block minecraft:spruce_leaves
[00:19:32] [Server thread/WARN]: Unknown property distance for block minecraft:spruce_leaves
[00:19:32] [Server thread/WARN]: Unknown property persistent for block minecraft:birch_leaves
[00:19:32] [Server thread/WARN]: Unknown property distance for block minecraft:birch_leaves
[00:19:32] [Server thread/WARN]: Unknown property persistent for block minecraft:jungle_leaves
[00:19:32] [Server thread/WARN]: Unknown property distance for block minecraft:jungle_leaves
[00:19:32] [Server thread/WARN]: Unknown property persistent for block minecraft:oak_leaves
[00:19:32] [Server thread/WARN]: Unknown property persistent for block minecraft:spruce_leaves
[00:19:32] [Server thread/WARN]: Unknown property persistent for block minecraft:birch_leaves
[00:19:32] [Server thread/WARN]: Unknown property persistent for block minecraft:jungle_leaves
[00:19:32] [Server thread/WARN]: Unknown property persistent for block minecraft:oak_leaves
[00:19:32] [Server thread/WARN]: Unknown property persistent for block minecraft:spruce_leaves
[00:19:32] [Server thread/WARN]: Unknown property persistent for block minecraft:birch_leaves
[00:19:32] [Server thread/WARN]: Unknown property persistent for block minecraft:jungle_leaves
[00:19:32] [Server thread/WARN]: Unknown property persistent for block minecraft:oak_leaves
[00:19:32] [Server thread/WARN]: Unknown property persistent for block minecraft:spruce_leaves
[00:19:32] [Server thread/WARN]: Unknown property persistent for block minecraft:birch_leaves
[00:19:32] [Server thread/WARN]: Unknown property persistent for block minecraft:jungle_leaves
[00:19:32] [Server thread/WARN]: Unknown property triggered for block minecraft:dispenser
[00:19:32] [Server thread/WARN]: Unknown property facing for block minecraft:dispenser
[00:19:32] [Server thread/WARN]: Unknown property triggered for block minecraft:dispenser
[00:19:32] [Server thread/WARN]: Unknown property triggered for block minecraft:dispenser
[00:19:32] [Server thread/WARN]: Unknown property triggered for block minecraft:dispenser
[00:19:32] [Server thread/WARN]: Unknown property triggered for block minecraft:dispenser
[00:19:32] [Server thread/WARN]: Unknown property triggered for block minecraft:dispenser
[00:19:32] [Server thread/WARN]: Unknown property triggered for block minecraft:dispenser
[00:19:32] [Server thread/WARN]: Unknown property triggered for block minecraft:dispenser
[00:19:32] [Server thread/WARN]: Unknown property triggered for block minecraft:dispenser
[00:19:32] [Server thread/WARN]: Unknown property triggered for block minecraft:dispenser
[00:19:32] [Server thread/WARN]: Unknown property triggered for block minecraft:dispenser
[00:19:32] [Server thread/WARN]: Unknown property triggered for block minecraft:dispenser
[00:19:32] [Server thread/WARN]: Unknown property instrument for block minecraft:note_block
[00:19:32] [Server thread/WARN]: Unknown property part for block minecraft:red_bed
[00:19:32] [Server thread/WARN]: Unknown property facing for block minecraft:red_bed
[00:19:32] [Server thread/WARN]: Unknown property part for block minecraft:red_bed
[00:19:32] [Server thread/WARN]: Unknown property part for block minecraft:red_bed
[00:19:32] [Server thread/WARN]: Unknown property part for block minecraft:red_bed
[00:19:32] [Server thread/WARN]: Unknown property part for block minecraft:red_bed
[00:19:32] [Server thread/WARN]: Unknown property part for block minecraft:red_bed
[00:19:32] [Server thread/WARN]: Unknown property part for block minecraft:red_bed
[00:19:32] [Server thread/WARN]: Unknown property part for block minecraft:red_bed
[00:19:32] [Server thread/WARN]: Unknown property part for block minecraft:red_bed
[00:19:32] [Server thread/WARN]: Unknown property part for block minecraft:red_bed
[00:19:32] [Server thread/WARN]: Unknown property part for block minecraft:red_bed
[00:19:32] [Server thread/WARN]: Unknown property part for block minecraft:red_bed
[00:19:32] [Server thread/WARN]: Unknown property part for block minecraft:red_bed
[00:19:32] [Server thread/WARN]: Unknown property part for block minecraft:red_bed
[00:19:32] [Server thread/WARN]: Unknown property part for block minecraft:red_bed
[00:19:32] [Server thread/WARN]: Unknown property part for block minecraft:red_bed
[00:19:32] [Server thread/WARN]: Unknown property shape for block minecraft:powered_rail
[00:19:32] [Server thread/WARN]: Unknown property powered for block minecraft:powered_rail
[00:19:32] [Server thread/WARN]: Unknown property shape for block minecraft:powered_rail
[00:19:32] [Server thread/WARN]: Unknown property shape for block minecraft:powered_rail
[00:19:32] [Server thread/WARN]: Unknown property shape for block minecraft:powered_rail
[00:19:32] [Server thread/WARN]: Unknown property shape for block minecraft:powered_rail
[00:19:32] [Server thread/WARN]: Unknown property shape for block minecraft:powered_rail
[00:19:32] [Server thread/WARN]: Unknown property shape for block minecraft:powered_rail
[00:19:32] [Server thread/WARN]: Unknown property shape for block minecraft:powered_rail
[00:19:32] [Server thread/WARN]: Unknown property shape for block minecraft:powered_rail
[00:19:32] [Server thread/WARN]: Unknown property shape for block minecraft:powered_rail
[00:19:32] [Server thread/WARN]: Unknown property shape for block minecraft:powered_rail
[00:19:32] [Server thread/WARN]: Unknown property shape for block minecraft:powered_rail
[00:19:32] [Server thread/WARN]: Unknown property shape for block minecraft:detector_rail
[00:19:32] [Server thread/WARN]: Unknown property powered for block minecraft:detector_rail
[00:19:32] [Server thread/WARN]: Unknown property shape for block minecraft:detector_rail
[00:19:32] [Server thread/WARN]: Unknown property shape for block minecraft:detector_rail
[00:19:32] [Server thread/WARN]: Unknown property shape for block minecraft:detector_rail
[00:19:32] [Server thread/WARN]: Unknown property shape for block minecraft:detector_rail
[00:19:32] [Server thread/WARN]: Unknown property shape for block minecraft:detector_rail
[00:19:32] [Server thread/WARN]: Unknown property shape for block minecraft:detector_rail
[00:19:32] [Server thread/WARN]: Unknown property shape for block minecraft:detector_rail
[00:19:32] [Server thread/WARN]: Unknown property shape for block minecraft:detector_rail
[00:19:32] [Server thread/WARN]: Unknown property shape for block minecraft:detector_rail
[00:19:32] [Server thread/WARN]: Unknown property shape for block minecraft:detector_rail
[00:19:32] [Server thread/WARN]: Unknown property shape for block minecraft:detector_rail
[00:19:32] [Server thread/WARN]: Unknown property facing for block minecraft:sticky_piston
[00:19:32] [Server thread/WARN]: Unknown property extended for block minecraft:sticky_piston
[00:19:32] [Server thread/WARN]: Unknown property facing for block minecraft:sticky_piston
[00:19:32] [Server thread/WARN]: Unknown property facing for block minecraft:sticky_piston
[00:19:32] [Server thread/WARN]: Unknown property facing for block minecraft:sticky_piston
[00:19:32] [Server thread/WARN]: Unknown property facing for block minecraft:sticky_piston
[00:19:32] [Server thread/WARN]: Unknown property facing for block minecraft:sticky_piston
[00:19:32] [Server thread/WARN]: Unknown property facing for block minecraft:sticky_piston
[00:19:32] [Server thread/WARN]: Unknown property facing for block minecraft:sticky_piston
[00:19:32] [Server thread/WARN]: Unknown property facing for block minecraft:sticky_piston
[00:19:32] [Server thread/WARN]: Unknown property facing for block minecraft:sticky_piston
[00:19:32] [Server thread/WARN]: Unknown property facing for block minecraft:sticky_piston
[00:19:32] [Server thread/WARN]: Unknown property facing for block minecraft:sticky_piston
[00:19:32] [Server thread/WARN]: Unknown property facing for block minecraft:piston
[00:19:32] [Server thread/WARN]: Unknown property extended for block minecraft:piston
[00:19:32] [Server thread/WARN]: Unknown property facing for block minecraft:piston
[00:19:32] [Server thread/WARN]: Unknown property facing for block minecraft:piston
[00:19:32] [Server thread/WARN]: Unknown property facing for block minecraft:piston
[00:19:32] [Server thread/WARN]: Unknown property facing for block minecraft:piston
[00:19:32] [Server thread/WARN]: Unknown property facing for block minecraft:piston
[00:19:32] [Server thread/WARN]: Unknown property facing for block minecraft:piston
[00:19:32] [Server thread/WARN]: Unknown property facing for block minecraft:piston
[00:19:32] [Server thread/WARN]: Unknown property facing for block minecraft:piston
[00:19:32] [Server thread/WARN]: Unknown property facing for block minecraft:piston
[00:19:32] [Server thread/WARN]: Unknown property facing for block minecraft:piston
[00:19:32] [Server thread/WARN]: Unknown property facing for block minecraft:piston
[00:19:32] [Server thread/WARN]: Unknown property short for block minecraft:piston_head
[00:19:32] [Server thread/WARN]: Unknown property facing for block minecraft:piston_head
[00:19:32] [Server thread/WARN]: Unknown property short for block minecraft:piston_head
[00:19:32] [Server thread/WARN]: Unknown property short for block minecraft:piston_head
[00:19:32] [Server thread/WARN]: Unknown property short for block minecraft:piston_head
[00:19:32] [Server thread/WARN]: Unknown property short for block minecraft:piston_head
[00:19:32] [Server thread/WARN]: Unknown property short for block minecraft:piston_head
[00:19:32] [Server thread/WARN]: Unknown property short for block minecraft:piston_head
[00:19:32] [Server thread/WARN]: Unknown property short for block minecraft:piston_head
[00:19:32] [Server thread/WARN]: Unknown property short for block minecraft:piston_head
[00:19:32] [Server thread/WARN]: Unknown property short for block minecraft:piston_head
[00:19:32] [Server thread/WARN]: Unknown property short for block minecraft:piston_head
[00:19:32] [Server thread/WARN]: Unknown property short for block minecraft:piston_head
[00:19:32] [Server thread/WARN]: Unknown property facing for block minecraft:moving_piston
[00:19:32] [Server thread/WARN]: Unknown property facing for block minecraft:moving_piston
[00:19:32] [Server thread/WARN]: Unknown property facing for block minecraft:moving_piston
[00:19:32] [Server thread/WARN]: Unknown property facing for block minecraft:moving_piston
[00:19:32] [Server thread/WARN]: Unknown property facing for block minecraft:moving_piston
[00:19:32] [Server thread/WARN]: Unknown property facing for block minecraft:moving_piston
[00:19:32] [Server thread/WARN]: Unknown property facing for block minecraft:moving_piston
[00:19:32] [Server thread/WARN]: Unknown property facing for block minecraft:moving_piston
[00:19:32] [Server thread/WARN]: Unknown property facing for block minecraft:moving_piston
[00:19:32] [Server thread/WARN]: Unknown property facing for block minecraft:moving_piston
[00:19:32] [Server thread/WARN]: Unknown property facing for block minecraft:moving_piston
[00:19:32] [Server thread/WARN]: Unknown property facing for block minecraft:moving_piston
[00:19:32] [Server thread/WARN]: Unknown property facing for block minecraft:moving_piston
[00:19:32] [Server thread/WARN]: Unknown property type for block minecraft:stone_slab
[00:19:32] [Server thread/WARN]: Unknown property type for block minecraft:stone_slab
[00:19:32] [Server thread/WARN]: Unknown property type for block minecraft:sandstone_slab
[00:19:32] [Server thread/WARN]: Unknown property type for block minecraft:sandstone_slab
[00:19:32] [Server thread/WARN]: Unknown property type for block minecraft:petrified_oak_slab
[00:19:32] [Server thread/WARN]: Unknown property type for block minecraft:petrified_oak_slab
[00:19:32] [Server thread/WARN]: Unknown property type for block minecraft:cobblestone_slab
[00:19:32] [Server thread/WARN]: Unknown property type for block minecraft:cobblestone_slab
[00:19:32] [Server thread/WARN]: Unknown property type for block minecraft:brick_slab
[00:19:32] [Server thread/WARN]: Unknown property type for block minecraft:brick_slab
[00:19:32] [Server thread/WARN]: Unknown property type for block minecraft:stone_brick_slab
[00:19:32] [Server thread/WARN]: Unknown property type for block minecraft:stone_brick_slab
[00:19:32] [Server thread/WARN]: Unknown property type for block minecraft:nether_brick_slab
[00:19:32] [Server thread/WARN]: Unknown property type for block minecraft:nether_brick_slab
[00:19:32] [Server thread/WARN]: Unknown property type for block minecraft:quartz_slab
[00:19:32] [Server thread/WARN]: Unknown property type for block minecraft:quartz_slab
[00:19:32] [Server thread/WARN]: Unknown property type for block minecraft:petrified_oak_slab
[00:19:32] [Server thread/WARN]: Unknown property type for block minecraft:cobblestone_slab
[00:19:32] [Server thread/WARN]: Unknown property type for block minecraft:brick_slab
[00:19:32] [Server thread/WARN]: Unknown property type for block minecraft:stone_brick_slab
[00:19:32] [Server thread/WARN]: Unknown property type for block minecraft:nether_brick_slab
[00:19:32] [Server thread/WARN]: Unknown property type for block minecraft:stone_slab
[00:19:32] [Server thread/WARN]: Unknown property type for block minecraft:sandstone_slab
[00:19:32] [Server thread/WARN]: Unknown property type for block minecraft:petrified_oak_slab
[00:19:32] [Server thread/WARN]: Unknown property type for block minecraft:cobblestone_slab
[00:19:32] [Server thread/WARN]: Unknown property type for block minecraft:brick_slab
[00:19:32] [Server thread/WARN]: Unknown property type for block minecraft:stone_brick_slab
[00:19:32] [Server thread/WARN]: Unknown property type for block minecraft:nether_brick_slab
[00:19:32] [Server thread/WARN]: Unknown property type for block minecraft:quartz_slab
[00:19:32] [Server thread/WARN]: Unknown property type for block minecraft:stone_slab
[00:19:32] [Server thread/WARN]: Unknown property type for block minecraft:sandstone_slab
[00:19:32] [Server thread/WARN]: Unknown property type for block minecraft:petrified_oak_slab
[00:19:32] [Server thread/WARN]: Unknown property type for block minecraft:cobblestone_slab
[00:19:32] [Server thread/WARN]: Unknown property type for block minecraft:brick_slab
[00:19:32] [Server thread/WARN]: Unknown property type for block minecraft:stone_brick_slab
[00:19:32] [Server thread/WARN]: Unknown property type for block minecraft:nether_brick_slab
[00:19:32] [Server thread/WARN]: Unknown property type for block minecraft:quartz_slab
[00:19:32] [Server thread/WARN]: Unknown property unstable for block minecraft:tnt
[00:19:32] [Server thread/WARN]: Unknown property unstable for block minecraft:tnt
[00:19:32] [Server thread/WARN]: Unknown property unstable for block minecraft:tnt
[00:19:32] [Server thread/WARN]: Unknown property facing for block minecraft:wall_torch
[00:19:32] [Server thread/WARN]: Unknown property facing for block minecraft:wall_torch
[00:19:32] [Server thread/WARN]: Unknown property facing for block minecraft:wall_torch
[00:19:32] [Server thread/WARN]: Unknown property facing for block minecraft:wall_torch
[00:19:32] [Server thread/WARN]: Unknown property facing for block minecraft:wall_torch
[00:19:32] [Server thread/WARN]: Unknown property east for block minecraft:fire
[00:19:32] [Server thread/WARN]: Unknown property age for block minecraft:fire
[00:19:32] [Server thread/WARN]: Unknown property east for block minecraft:fire
[00:19:32] [Server thread/WARN]: Unknown property east for block minecraft:fire
[00:19:32] [Server thread/WARN]: Unknown property east for block minecraft:fire
[00:19:32] [Server thread/WARN]: Unknown property east for block minecraft:fire
[00:19:32] [Server thread/WARN]: Unknown property east for block minecraft:fire
[00:19:32] [Server thread/WARN]: Unknown property east for block minecraft:fire
[00:19:32] [Server thread/WARN]: Unknown property east for block minecraft:fire
[00:19:32] [Server thread/WARN]: Unknown property east for block minecraft:fire
[00:19:32] [Server thread/WARN]: Unknown property east for block minecraft:fire
[00:19:32] [Server thread/WARN]: Unknown property east for block minecraft:fire
[00:19:32] [Server thread/WARN]: Unknown property east for block minecraft:fire
[00:19:32] [Server thread/WARN]: Unknown property east for block minecraft:fire
[00:19:32] [Server thread/WARN]: Unknown property east for block minecraft:fire
[00:19:32] [Server thread/WARN]: Unknown property east for block minecraft:fire
[00:19:32] [Server thread/WARN]: Unknown property east for block minecraft:fire
[00:19:32] [Server thread/WARN]: Unknown property half for block minecraft:oak_stairs
[00:19:32] [Server thread/WARN]: Unknown property facing for block minecraft:oak_stairs
[00:19:32] [Server thread/WARN]: Unknown property half for block minecraft:oak_stairs
[00:19:32] [Server thread/WARN]: Unknown property half for block minecraft:oak_stairs
[00:19:32] [Server thread/WARN]: Unknown property half for block minecraft:oak_stairs
[00:19:32] [Server thread/WARN]: Unknown property half for block minecraft:oak_stairs
[00:19:32] [Server thread/WARN]: Unknown property half for block minecraft:oak_stairs
[00:19:32] [Server thread/WARN]: Unknown property half for block minecraft:oak_stairs
[00:19:32] [Server thread/WARN]: Unknown property half for block minecraft:oak_stairs
[00:19:32] [Server thread/WARN]: Unknown property facing for block minecraft:chest
[00:19:32] [Server thread/WARN]: Unknown property facing for block minecraft:chest
[00:19:32] [Server thread/WARN]: Unknown property facing for block minecraft:chest
[00:19:32] [Server thread/WARN]: Unknown property facing for block minecraft:chest
[00:19:32] [Server thread/WARN]: Unknown property facing for block minecraft:chest
[00:19:32] [Server thread/WARN]: Unknown property east for block minecraft:redstone_wire
[00:19:32] [Server thread/WARN]: Unknown property east for block minecraft:redstone_wire
[00:19:32] [Server thread/WARN]: Unknown property east for block minecraft:redstone_wire
[00:19:32] [Server thread/WARN]: Unknown property east for block minecraft:redstone_wire
[00:19:32] [Server thread/WARN]: Unknown property east for block minecraft:redstone_wire
[00:19:32] [Server thread/WARN]: Unknown property east for block minecraft:redstone_wire
[00:19:32] [Server thread/WARN]: Unknown property east for block minecraft:redstone_wire
[00:19:32] [Server thread/WARN]: Unknown property east for block minecraft:redstone_wire
[00:19:32] [Server thread/WARN]: Unknown property east for block minecraft:redstone_wire
[00:19:32] [Server thread/WARN]: Unknown property east for block minecraft:redstone_wire
[00:19:32] [Server thread/WARN]: Unknown property east for block minecraft:redstone_wire
[00:19:32] [Server thread/WARN]: Unknown property east for block minecraft:redstone_wire
[00:19:32] [Server thread/WARN]: Unknown property east for block minecraft:redstone_wire
[00:19:32] [Server thread/WARN]: Unknown property east for block minecraft:redstone_wire
[00:19:32] [Server thread/WARN]: Unknown property east for block minecraft:redstone_wire
[00:19:32] [Server thread/WARN]: Unknown property east for block minecraft:redstone_wire
[00:19:32] [Server thread/WARN]: Unknown property east for block minecraft:redstone_wire
[00:19:32] [Server thread/WARN]: Unknown property age for block minecraft:wheat
[00:19:32] [Server thread/WARN]: Unknown property age for block minecraft:wheat
[00:19:32] [Server thread/WARN]: Unknown property age for block minecraft:wheat
[00:19:32] [Server thread/WARN]: Unknown property age for block minecraft:wheat
[00:19:32] [Server thread/WARN]: Unknown property age for block minecraft:wheat
[00:19:32] [Server thread/WARN]: Unknown property age for block minecraft:wheat
